_id,neighborhood,school,enrolled_students
337,Mount Oliver Borough,PITTSBURGH BRASHEAR HIGH SCHOOL,22
338,Mount Oliver Borough,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,15
339,Mount Oliver Borough,PITTSBURGH SOUTH HILLS 6-8,15
340,Mount Washington,PITTSBURGH WHITTIER K-5,124
341,Mount Washington,Other,85
342,Mount Washington,PITTSBURGH BRASHEAR HIGH SCHOOL,79
343,Mount Washington,PITTSBURGH SOUTH HILLS 6-8,64
344,Mount Washington,PITTSBURGH CARMALT PreK-8,22
345,Mount Washington,PITTSBURGH CAPA 6-12,16
346,Mount Washington,PITTSBURGH CLASSICAL 6-8,14
347,Mount Washington,PITTSBURGH PHILLIPS K-5,13
348,New Homestead,PITTSBURGH ALLDERDICE HIGH SCHOOL,33
349,New Homestead,Other,19
350,New Homestead,PITTSBURGH MIFFLIN PreK-8,17
351,North Oakland,Other,11
352,Northview Heights,PITTSBURGH KING PreK-8,160
353,Northview Heights,Other,113
354,Northview Heights,PITTSBURGH ARSENAL PreK-5,78
355,Northview Heights,PITTSBURGH BRASHEAR HIGH SCHOOL,52
356,Northview Heights,PITTSBURGH PERRY HIGH SCHOOL,44
357,Northview Heights,PITTSBURGH ALLEGHENY K-5,29
358,Northview Heights,PITTSBURGH ARSENAL 6-8,25
359,Northview Heights,PITTSBURGH ALLDERDICE HIGH SCHOOL,14
360,Northview Heights,PITTSBURGH MANCHESTER PreK-8,12
361,Oakwood,Other,38
362,Oakwood,PITTSBURGH BANKSVILLE K-5,23
363,Oakwood,PITTSBURGH BRASHEAR HIGH SCHOOL,14
364,Overbrook,Other,62
365,Overbrook,PITTSBURGH CARMALT PreK-8,40
366,Overbrook,PITTSBURGH CONCORD K-5,39
367,Overbrook,PITTSBURGH SOUTH BROOK 6-8,38
368,Overbrook,PITTSBURGH CARRICK HIGH SCHOOL,37
369,Overbrook,PITTSBURGH WEST LIBERTY PreK-5,23
370,Overbrook,PITTSBURGH BROOKLINE PreK-8,19
371,Overbrook,PITTSBURGH CAPA 6-12,14
372,Perry North,Other,125
